Date,Number  of  Flights
2017-08-14  7:02:07,1700
2017-08-14  7:07:08,1701
2017-08-14  7:12:08,1701
2017-08-14  7:17:08,1705
2017-08-14  7:22:08,1710
2017-08-14  7:27:08,1711
2017-08-14  7:32:08,1714
2017-08-14  7:37:08,1716
2017-08-14  7:42:08,1715
2017-08-14  7:47:08,1719
2017-08-14  7:52:08,1718
2017-08-14  7:57:08,1719
2017-08-14  8:02:08,1720
2017-08-14  8:07:08,1729
2017-08-14  8:12:08,1728
2017-08-14  8:17:08,1732
2017-08-14  8:22:09,1733
2017-08-14  8:27:09,1733
2017-08-14  8:32:09,1737
2017-08-14  8:37:09,1739
2017-08-14  8:42:09,1737
2017-08-14  8:47:09,1738
2017-08-14  8:52:09,1744
2017-08-14  8:57:09,1744
2017-08-14  9:02:09,1747
2017-08-14  9:07:09,1748
2017-08-14  9:12:09,1750
2017-08-14  9:17:09,1755
2017-08-14  9:22:09,1756
2017-08-14  9:27:09,1755
2017-08-14  9:32:10,1754
2017-08-14  9:37:10,1760
2017-08-14  9:42:10,1762
2017-08-14  9:47:10,1766
2017-08-14  9:52:10,1767
2017-08-14  9:57:10,1768
2017-08-14  10:02:10,1768
