Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-13  09:32:26.838,17,1,14,4
2017-08-13  09:37:26.840,17,3,15,5
2017-08-13  09:42:26.841,17,1,14,4
2017-08-13  09:47:26.842,17,4,16,5
2017-08-13  09:52:26.846,14,1,12,3
2017-08-13  09:57:26.846,14,1,13,2
2017-08-13  10:02:26.849,11,1,10,2
2017-08-13  10:07:26.848,14,2,14,2
2017-08-13  10:12:26.850,16,1,14,3
2017-08-13  10:17:26.854,15,0,13,2
2017-08-13  10:22:26.853,14,1,11,4
2017-08-13  10:27:26.856,24,0,21,3
2017-08-13  10:32:26.855,16,4,12,8
2017-08-13  10:37:26.857,12,1,10,3
2017-08-13  10:42:26.858,18,0,17,1
2017-08-13  10:47:26.860,9,0,8,1
2017-08-13  10:52:26.864,19,0,15,4
2017-08-13  10:57:26.863,13,1,11,3
2017-08-13  11:02:26.864,12,4,13,3
2017-08-13  11:07:26.868,18,0,14,4
2017-08-13  11:12:26.867,16,2,16,2
2017-08-13  11:17:26.868,23,2,18,7
2017-08-13  11:22:26.872,10,2,9,3
2017-08-13  11:27:26.871,21,0,18,3
2017-08-13  11:32:26.875,10,1,8,3
2017-08-13  11:37:26.874,16,0,13,3
2017-08-13  11:42:26.876,15,1,13,3
2017-08-13  11:47:26.877,12,1,12,1
2017-08-13  11:52:26.878,17,1,15,3
2017-08-13  11:57:26.880,16,1,13,4
2017-08-13  12:02:26.882,22,2,18,6
2017-08-13  12:07:26.883,13,3,12,4
2017-08-13  12:12:26.885,20,1,17,4
2017-08-13  12:17:26.889,11,0,9,2
2017-08-13  12:22:26.887,12,0,10,2
2017-08-13  12:27:26.889,16,0,15,1
2017-08-13  12:32:26.890,14,2,13,3
2017-08-13  12:37:26.892,17,0,15,2
2017-08-13  12:42:26.893,17,1,12,6
2017-08-13  12:47:26.895,21,3,18,6
2017-08-13  12:52:26.898,19,3,16,6
2017-08-13  12:57:26.900,11,1,10,2
2017-08-13  13:02:26.901,15,1,13,3
2017-08-13  13:07:26.900,10,0,10,0
2017-08-13  13:12:26.902,16,0,13,3
2017-08-13  13:17:26.906,15,1,14,2
2017-08-13  13:22:26.905,12,0,11,1
2017-08-13  13:27:26.909,17,1,14,4
2017-08-13  13:32:26.908,22,1,20,3
2017-08-13  13:37:26.910,17,5,13,9
2017-08-13  13:42:26.911,15,1,14,2
2017-08-13  13:47:26.915,14,2,13,3
2017-08-13  13:52:26.914,11,0,9,2
2017-08-13  13:57:26.917,16,0,13,3
2017-08-13  14:02:26.919,11,5,12,4
2017-08-13  14:07:26.921,16,1,16,1
2017-08-13  14:12:26.923,13,4,14,3
2017-08-13  14:17:26.922,17,2,14,5
2017-08-13  14:22:26.923,22,2,18,6
2017-08-13  14:27:26.927,11,2,10,3
2017-08-13  14:32:26.928,18,2,16,4
2017-08-13  14:37:26.930,8,0,7,1
2017-08-13  14:42:26.929,16,0,14,2
2017-08-13  14:47:26.933,14,0,11,3
2017-08-13  14:52:26.935,18,1,16,3
2017-08-13  14:57:26.937,13,0,12,1
2017-08-13  15:02:26.938,20,2,17,5
2017-08-13  15:07:26.937,18,0,13,5
2017-08-13  15:12:26.941,16,3,14,5
2017-08-13  15:17:26.943,16,1,14,3
2017-08-13  15:22:26.944,12,0,10,2
2017-08-13  15:27:26.943,15,0,14,1
2017-08-13  15:32:26.945,15,2,12,5
2017-08-13  15:37:26.946,10,4,12,2
2017-08-13  15:42:26.948,12,0,11,1
2017-08-13  15:47:26.950,14,2,11,5
2017-08-13  15:52:26.954,17,0,14,3
2017-08-13  15:57:26.953,20,3,14,9
2017-08-13  16:02:26.954,11,2,10,3
2017-08-13  16:07:26.955,15,3,15,3
2017-08-13  16:12:26.959,10,0,9,1
2017-08-13  16:17:26.958,16,1,16,1
2017-08-13  16:22:26.960,13,4,14,3
2017-08-13  16:27:26.964,12,1,11,2
2017-08-13  16:32:26.963,16,3,12,7
2017-08-13  16:37:26.967,19,0,18,1
2017-08-13  16:42:26.968,18,3,14,7
2017-08-13  16:47:26.969,13,0,11,2
2017-08-13  16:52:26.971,17,1,16,2
2017-08-13  16:57:26.972,10,0,8,2
2017-08-13  17:02:26.976,12,2,12,2
2017-08-13  17:07:26.977,14,1,12,3
2017-08-13  17:12:26.979,15,0,15,0
2017-08-13  17:17:26.979,18,0,15,3
2017-08-13  17:22:26.980,18,1,14,5
2017-08-13  17:27:26.984,23,0,18,5
2017-08-13  17:32:26.983,14,3,12,5
2017-08-13  17:37:26.984,16,1,14,3
2017-08-13  17:42:26.988,11,0,10,1
2017-08-13  17:47:26.987,13,2,11,4
2017-08-13  17:52:26.989,18,3,14,7
